superclass,value,n
Diterpenoids,98.77095794677734,489
Sesquiterpenoids,151.03579711914062,447
Flavonoids,10.965517044067383,348
Triterpenoids,7.312865734100342,342
Tryptophan alkaloids,289.1875,192
Steroids,4.643617153167725,188
Oligopeptides,6.657534122467041,146
Monoterpenoids,998.20166015625,119
Meroterpenoids,35.69827651977539,116
Coumarins,64.31192779541016,109
Macrolides,37.3577995300293,109
Polycyclic aromatic polyketides,13.635514259338379,107
Cyclic polyketides,526.085693359375,105
Lignans,8.173469543457031,98
Linear polyketides,31.649484634399414,97
Isoflavonoids,876.2553100585938,94
Tyrosine alkaloids,195.13333129882812,90
Aromatic polyketides,34.35955047607422,89
Small peptides,4583.64208984375,81
Naphthalenes,238.86363220214844,66
Chromanes,202.8000030517578,65
Peptide alkaloids,39.75,60
Pseudoalkaloids,21.38888931274414,54
Anthranilic acid alkaloids,1134.199951171875,45
Lysine alkaloids,51.181819915771484,44
Fatty acyls,20.86046600341797,43
Phenolic acids (C6-C1),202.7906951904297,43
Xanthones,7.767441749572754,43
Fatty Acids and Conjugates,86.52381134033203,42
Phenylpropanoids (C6-C3),17.428571701049805,42
Carotenoids (C40),12.621622085571289,37
Sesterterpenoids,1.0,32
Ornithine alkaloids,139.43333435058594,30
Nicotinic acid alkaloids,372.4800109863281,25
Phloroglucinols,13.541666984558105,24
Stilbenoids,8.083333015441895,24
Diarylheptanoids,1.0909091234207153,22
Sphingolipids,96.89473724365234,19
Fatty esters,3468.73681640625,19
Histidine alkaloids,2833.5,18
Fatty amides,6.705882549285889,17
Apocarotenoids,1.1176470518112183,17
Terphenyls,83.1875,16
Glycerolipids,8.428571701049805,14
Polyethers,11.083333015441895,12
Saccharides,10.333333015441895,12
Eicosanoids,8.5,12
Phenanthrenoids,130.36363220214844,11
Diphenyl ethers (DPEs),32.79999923706055,10
Styrylpyrones,76.9000015258789,10
Nucleosides,87.30000305175781,10
Proline alkaloids,76.0999984741211,10
β-lactams,16473.125,8
Polyols,5193.0,8
Miscellaneous polyketides,5.142857074737549,7
Amino acid glycosides,3.2857143878936768,7
Glycerophospholipids,6.5714287757873535,7
Diazotetronic acids and derivatives,223.5,6
Octadecanoids,1.2000000476837158,5
Aminosugars and aminoglycosides,386.75,4
Serine alkaloids,6.0,4
Alkylresorcinols,1.75,4
Tetramate alkaloids,3.6666667461395264,3
Phenylethanoids (C6-C2),20.0,3
Polyprenols,145.0,2
γ-lactam-β-lactones,0.5,2
Carotenoids (C50),2.0,1
Guanidine alkaloids,47.0,1
Docosanoids,1.0,1
Fatty acyl glycosides,3.0,1
