superclass,value,n
Diterpenoids,0.5010225176811218,489
Sesquiterpenoids,0.4899328947067261,447
Flavonoids,0.5344827771186829,348
Triterpenoids,0.5847952961921692,342
Tryptophan alkaloids,0.4583333432674408,192
Steroids,0.6010638475418091,188
Oligopeptides,0.3561643958091736,146
Monoterpenoids,0.43697479367256165,119
Meroterpenoids,0.517241358757019,116
Coumarins,0.4954128563404083,109
Macrolides,0.39449542760849,109
Polycyclic aromatic polyketides,0.3925233781337738,107
Cyclic polyketides,0.43809524178504944,105
Lignans,0.3979591727256775,98
Linear polyketides,0.3505154550075531,97
Isoflavonoids,0.5957446694374084,94
Tyrosine alkaloids,0.30000001192092896,90
Aromatic polyketides,0.3258427083492279,89
Small peptides,0.4938271641731262,81
Naphthalenes,0.22727273404598236,66
Chromanes,0.4000000059604645,65
Peptide alkaloids,0.46666666865348816,60
Pseudoalkaloids,0.3333333432674408,54
Anthranilic acid alkaloids,0.3777777850627899,45
Lysine alkaloids,0.40909090638160706,44
Fatty acyls,0.3720930218696594,43
Phenolic acids (C6-C1),0.39534884691238403,43
Xanthones,0.3720930218696594,43
Fatty Acids and Conjugates,0.3571428656578064,42
Phenylpropanoids (C6-C3),0.4047619104385376,42
Carotenoids (C40),0.7027027010917664,37
Sesterterpenoids,0.65625,32
Ornithine alkaloids,0.30000001192092896,30
Nicotinic acid alkaloids,0.36000001430511475,25
Phloroglucinols,0.4583333432674408,24
Stilbenoids,0.4166666567325592,24
Diarylheptanoids,0.5909090638160706,22
Sphingolipids,0.15789473056793213,19
Fatty esters,0.42105263471603394,19
Histidine alkaloids,0.1666666716337204,18
Fatty amides,0.47058823704719543,17
Apocarotenoids,0.6470588445663452,17
Terphenyls,0.3125,16
Glycerolipids,0.3571428656578064,14
Polyethers,0.1666666716337204,12
Saccharides,0.1666666716337204,12
Eicosanoids,0.3333333432674408,12
Phenanthrenoids,0.1818181872367859,11
Diphenyl ethers (DPEs),0.4000000059604645,10
Styrylpyrones,0.4000000059604645,10
Nucleosides,0.30000001192092896,10
Proline alkaloids,0.0,10
β-lactams,0.25,8
Polyols,0.25,8
Miscellaneous polyketides,0.2857142984867096,7
Amino acid glycosides,0.5714285969734192,7
Glycerophospholipids,0.1428571492433548,7
Diazotetronic acids and derivatives,0.1666666716337204,6
Octadecanoids,0.6000000238418579,5
Aminosugars and aminoglycosides,0.0,4
Serine alkaloids,0.25,4
Alkylresorcinols,0.25,4
Tetramate alkaloids,0.0,3
Phenylethanoids (C6-C2),0.3333333432674408,3
Polyprenols,0.0,2
γ-lactam-β-lactones,0.5,2
Carotenoids (C50),0.0,1
Guanidine alkaloids,0.0,1
Docosanoids,0.0,1
Fatty acyl glycosides,0.0,1
