superclass,n_items,n_valid_smiles,mean_carbons,mean_hydrogens,mean_hsqc,mean_cnmr,mean_hnmr
Diterpenoids,499,499,24.012024,34.264529,22.156313,22.080160,14.152305
Sesquiterpenoids,466,466,19.214592,26.618026,16.849785,17.459227,10.060086
Flavonoids,361,361,25.531856,25.601108,14.512465,21.761773,11.229917
Triterpenoids,345,345,34.243478,52.220290,33.736232,31.600000,20.626087
Unknown,343,343,18.043732,23.075802,13.247813,15.524781,8.239067
Tryptophan alkaloids,215,215,21.841860,23.474419,15.716279,18.451163,10.339535
Steroids,190,190,30.000000,46.852632,32.815789,28.136842,20.252632
Oligopeptides,150,150,43.726667,63.380000,34.053333,33.100000,20.766667
Meroterpenoids,126,126,23.603175,31.047619,17.753968,21.309524,7.690476
Monoterpenoids,122,122,17.967213,25.459016,16.196721,16.598361,12.098361
Coumarins,116,116,19.887931,21.043103,11.982759,17.836207,7.896552
Cyclic polyketides,114,114,17.587719,23.438596,13.710526,16.166667,5.210526
Polycyclic aromatic polyketides,114,114,25.061404,23.517544,12.631579,20.631579,6.605263
Macrolides,110,110,33.672727,49.945455,29.763636,29.809091,16.590909
Lignans,109,109,24.981651,28.422018,16.009174,20.743119,12.761468
Linear polyketides,103,103,30.427184,49.650485,30.407767,26.174757,15.446602
Isoflavonoids,95,95,21.031579,19.768421,11.652632,18.536842,9.673684
Small peptides,94,94,13.170213,19.553191,10.457447,11.457447,6.351064
Tyrosine alkaloids,92,92,21.500000,22.923913,15.119565,17.228261,10.510870
Aromatic polyketides,91,91,21.098901,26.912088,13.109890,17.593407,6.076923
Peptide alkaloids,76,76,22.355263,28.078947,15.539474,17.447368,6.789474
Naphthalenes,70,70,20.500000,17.757143,10.257143,16.871429,4.871429
Pseudoalkaloids,69,69,26.884058,38.057971,25.985507,24.811594,15.811594
Chromanes,68,68,19.411765,22.102941,12.588235,18.382353,4.647059
Anthranilic acid alkaloids,62,62,18.306452,18.387097,10.612903,14.919355,4.500000
Phenylpropanoids (C6-C3),52,52,19.423077,21.769231,13.384615,17.000000,11.576923
Lysine alkaloids,49,49,18.040816,25.326531,18.979592,15.877551,9.857143
Phenolic acids (C6-C1),47,47,19.085106,19.425532,9.212766,14.148936,6.595745
Xanthones,46,46,20.347826,18.152174,9.304348,17.347826,6.065217
Fatty acyls,45,45,19.933333,32.622222,19.777778,16.488889,11.266667
Fatty Acids and Conjugates,44,44,23.568182,38.159091,21.090909,18.636364,12.318182
Nicotinic acid alkaloids,40,40,22.050000,27.425000,16.550000,19.625000,11.375000
Carotenoids (C40),37,37,40.513514,56.270270,30.972973,29.432432,17.729730
Sesterterpenoids,37,37,26.000000,38.459459,25.216216,24.324324,14.243243
Ornithine alkaloids,33,33,19.303030,28.606061,16.575758,16.515152,8.787879
Stilbenoids,27,27,24.851852,23.259259,12.777778,17.740741,10.259259
Phloroglucinols,26,26,27.730769,28.230769,9.923077,16.115385,7.000000
Histidine alkaloids,22,22,18.590909,20.409091,10.727273,15.318182,9.000000
Diarylheptanoids,22,22,22.363636,25.500000,15.636364,17.045455,11.909091
Fatty amides,19,19,21.789474,36.263158,19.368421,18.052632,10.894737
Sphingolipids,19,19,37.052632,72.473684,35.789474,26.368421,15.157895
Fatty esters,19,19,15.736842,27.473684,16.052632,13.578947,8.736842
Apocarotenoids,17,17,19.882353,32.352941,19.411765,18.470588,13.705882
Terphenyls,16,16,28.375000,23.375000,9.437500,15.812500,4.187500
Glycerolipids,14,14,39.214286,70.285714,35.500000,27.857143,20.857143
Polyethers,12,12,40.416667,64.750000,41.166667,32.416667,23.000000
Saccharides,12,12,22.083333,35.333333,20.916667,20.000000,14.333333
Eicosanoids,12,12,21.833333,32.166667,21.750000,21.333333,16.833333
Diphenyl ethers (DPEs),11,11,18.090909,17.272727,8.818182,14.454545,1.181818
Phenanthrenoids,11,11,21.090909,18.000000,9.727273,15.818182,7.272727
Polyols,10,10,14.000000,25.200000,13.400000,11.600000,6.000000
Phenylethanoids (C6-C2),10,10,26.300000,33.500000,21.700000,24.300000,17.000000
Styrylpyrones,10,10,21.100000,17.600000,11.800000,15.700000,6.200000
Nucleosides,10,10,15.000000,19.500000,10.900000,14.800000,3.200000
Proline alkaloids,10,10,14.000000,11.900000,6.400000,10.700000,0.600000
β-lactams,9,9,13.666667,16.000000,8.888889,12.777778,3.000000
Tetramate alkaloids,8,8,20.875000,25.500000,13.375000,14.000000,5.750000
Miscellaneous polyketides,7,7,13.428571,18.000000,12.142857,12.571429,4.714286
Amino acid glycosides,7,7,13.428571,21.000000,12.142857,12.857143,10.142857
Aminosugars and aminoglycosides,7,7,16.142857,28.428571,15.714286,14.857143,9.000000
Glycerophospholipids,7,7,25.142857,48.428571,25.857143,21.571429,15.714286
Diazotetronic acids and derivatives,6,6,20.333333,15.000000,7.000000,15.333333,4.833333
Octadecanoids,5,5,16.600000,29.200000,18.200000,15.400000,12.400000
Serine alkaloids,4,4,14.000000,16.500000,11.250000,13.500000,6.000000
Alkylresorcinols,4,4,40.000000,64.750000,28.250000,24.750000,17.250000
Polyprenols,3,3,42.666667,79.333333,28.000000,22.000000,14.333333
γ-lactam-β-lactones,2,2,17.000000,24.500000,18.000000,16.500000,0.000000
Guanidine alkaloids,2,2,28.000000,44.000000,29.500000,26.500000,19.500000
Carotenoids (C50),1,1,50.000000,72.000000,31.000000,24.000000,17.000000
Docosanoids,1,1,22.000000,32.000000,24.000000,19.000000,16.000000
Fatty acyl glycosides,1,1,14.000000,28.000000,16.000000,14.000000,13.000000
