true_class,Diterpenoids,Sesquiterpenoids,Triterpenoids,Flavonoids,Unknown,Steroids,Tryptophan alkaloids,Oligopeptides,Monoterpenoids,Polycyclic aromatic polyketides,Meroterpenoids,Coumarins,Macrolides,Lignans,Isoflavonoids,Linear polyketides,Tyrosine alkaloids,Cyclic polyketides,Aromatic polyketides,Naphthalenes,Small peptides,Multi,Chromanes,Peptide alkaloids,Pseudoalkaloids,Fatty acyls,Xanthones,Fatty Acids and Conjugates,Phenolic acids (C6-C1),Carotenoids (C40),Anthranilic acid alkaloids,Lysine alkaloids,Phenylpropanoids (C6-C3),Sesterterpenoids,Phloroglucinols,Stilbenoids,Apocarotenoids,Nicotinic acid alkaloids,Terphenyls,Ornithine alkaloids,Fatty esters,Diarylheptanoids,Sphingolipids,Fatty amides,Glycerolipids,Polyethers,Eicosanoids,Diphenyl ethers (DPEs),Saccharides,Histidine alkaloids,Nucleosides,Glycerophospholipids,Styrylpyrones,Phenanthrenoids,Amino acid glycosides,Proline alkaloids,β-lactams,Octadecanoids,Polyols,Aminosugars and aminoglycosides,Miscellaneous polyketides,Alkylresorcinols,Polyprenols,Serine alkaloids,Diazotetronic acids and derivatives,Tetramate alkaloids,Phenylethanoids (C6-C2),Fatty acyl glycosides,Tropolones,Docosanoids,Carotenoids (C50),γ-lactam-β-lactones,Guanidine alkaloids,Miscellaneous alkaloids,Mycosporine derivatives,Fluorenes
Diterpenoids,4230,261,121,1,57,9,11,0,43,2,19,3,6,0,0,0,0,0,0,8,0,36,0,0,2,2,0,0,0,11,0,0,5,26,0,1,14,6,7,0,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sesquiterpenoids,385,3291,86,4,178,29,1,0,171,11,67,15,0,2,0,4,0,20,9,8,2,38,0,0,2,10,0,3,11,7,0,3,0,12,18,0,31,0,0,0,11,0,0,3,3,13,2,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0
Flavonoids,2,0,0,3266,33,0,0,0,1,2,5,10,0,5,27,1,0,1,1,7,0,30,6,1,0,0,37,0,6,0,1,0,8,0,9,7,0,1,6,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Triterpenoids,43,19,3311,3,13,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryptophan alkaloids,0,3,0,5,93,0,1553,0,2,13,18,9,0,2,8,0,13,0,5,6,5,49,1,26,4,0,9,0,14,0,33,7,2,0,0,0,0,3,3,0,0,0,0,7,0,0,0,3,0,12,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Steroids,10,7,10,0,10,1810,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligopeptides,0,0,0,0,22,0,0,1367,0,0,0,0,8,0,0,2,0,0,0,0,29,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoterpenoids,15,117,0,0,83,2,0,0,872,1,16,2,0,0,1,0,0,2,1,0,0,6,0,0,1,9,0,3,0,3,0,1,2,2,4,0,15,1,0,4,8,3,0,0,0,1,0,0,8,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Meroterpenoids,30,23,6,4,79,1,4,0,2,15,874,3,4,0,13,15,0,2,9,12,0,19,0,1,7,1,5,0,6,0,0,0,0,2,1,1,1,4,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Coumarins,8,4,0,28,51,0,2,0,2,2,3,814,2,4,5,4,6,20,15,33,0,8,28,0,0,0,7,0,2,0,0,0,11,0,5,9,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
