true_class,Diterpenoids,Sesquiterpenoids,Triterpenoids,Flavonoids,Steroids,Tryptophan alkaloids,Oligopeptides,Monoterpenoids,Polycyclic aromatic polyketides,Meroterpenoids,Unknown,Coumarins,Macrolides,Lignans,Isoflavonoids,Linear polyketides,Cyclic polyketides,Aromatic polyketides,Tyrosine alkaloids,Small peptides,Naphthalenes,Chromanes,Peptide alkaloids,Pseudoalkaloids,Fatty acyls,Xanthones,Phenolic acids (C6-C1),Lysine alkaloids,Carotenoids (C40),Fatty Acids and Conjugates,Anthranilic acid alkaloids,Multi,Phenylpropanoids (C6-C3),Phloroglucinols,Sesterterpenoids,Stilbenoids,Nicotinic acid alkaloids,Ornithine alkaloids,Diarylheptanoids,Apocarotenoids,Terphenyls,Fatty esters,Sphingolipids,Fatty amides,Polyethers,Glycerolipids,Nucleosides,Histidine alkaloids,Eicosanoids,Diphenyl ethers (DPEs),Saccharides,Glycerophospholipids,Styrylpyrones,Phenanthrenoids,Octadecanoids,Amino acid glycosides,Proline alkaloids,Polyols,β-lactams,Miscellaneous polyketides,Diazotetronic acids and derivatives,Alkylresorcinols,Aminosugars and aminoglycosides,Serine alkaloids,Tetramate alkaloids,γ-lactam-β-lactones,Docosanoids,Fatty acyl glycosides,Phenylethanoids (C6-C2),Guanidine alkaloids,Polyprenols,Carotenoids (C50)
Diterpenoids,450,14,9,0,1,1,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sesquiterpenoids,25,378,5,0,3,0,0,6,1,5,8,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavonoids,0,0,0,336,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triterpenoids,1,1,336,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryptophan alkaloids,0,0,0,0,0,168,0,0,2,1,6,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroids,2,0,0,0,184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligopeptides,0,0,0,0,0,0,142,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoterpenoids,1,7,0,0,0,0,0,101,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meroterpenoids,1,1,0,0,0,0,0,0,1,105,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coumarins,0,0,0,2,0,0,0,1,0,0,4,92,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrolides,0,1,0,0,0,0,0,0,0,0,3,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Polycyclic aromatic polyketides,0,0,0,0,0,0,0,0,102,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclic polyketides,0,1,0,0,0,0,0,0,0,0,7,4,0,0,0,0,85,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
