true_class,Diterpenoids,Sesquiterpenoids,Triterpenoids,Flavonoids,Steroids,Tryptophan alkaloids,Unknown,Oligopeptides,Monoterpenoids,Polycyclic aromatic polyketides,Meroterpenoids,Coumarins,Macrolides,Lignans,Linear polyketides,Isoflavonoids,Tyrosine alkaloids,Cyclic polyketides,Aromatic polyketides,Naphthalenes,Small peptides,Multi,Chromanes,Peptide alkaloids,Pseudoalkaloids,Xanthones,Fatty acyls,Fatty Acids and Conjugates,Phenolic acids (C6-C1),Lysine alkaloids,Carotenoids (C40),Anthranilic acid alkaloids,Phenylpropanoids (C6-C3),Sesterterpenoids,Phloroglucinols,Stilbenoids,Apocarotenoids,Nicotinic acid alkaloids,Ornithine alkaloids,Terphenyls,Diarylheptanoids,Fatty esters,Sphingolipids,Fatty amides,Polyethers,Glycerolipids,Histidine alkaloids,Eicosanoids,Diphenyl ethers (DPEs),Saccharides,Nucleosides,Glycerophospholipids,Phenanthrenoids,Styrylpyrones,Amino acid glycosides,Octadecanoids,Proline alkaloids,β-lactams,Polyols,Miscellaneous polyketides,Alkylresorcinols,Polyprenols,Serine alkaloids,Aminosugars and aminoglycosides,Diazotetronic acids and derivatives,Tetramate alkaloids,Phenylethanoids (C6-C2),Carotenoids (C50),Fatty acyl glycosides,Tropolones,Docosanoids,γ-lactam-β-lactones,Guanidine alkaloids,Fluorenes
Diterpenoids,2174,103,56,0,2,5,22,0,18,0,7,3,3,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,4,0,2,9,0,1,9,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sesquiterpenoids,167,1727,41,2,12,0,83,0,71,5,27,7,0,0,2,0,0,7,4,2,0,18,0,0,0,0,4,1,4,1,4,0,0,5,9,0,12,0,0,0,0,4,0,1,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
Flavonoids,1,0,0,1646,0,0,17,0,0,0,2,2,0,3,0,12,0,0,0,5,0,16,3,0,0,16,0,0,1,0,0,0,1,0,3,4,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triterpenoids,21,7,1659,3,3,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryptophan alkaloids,0,1,0,2,0,799,45,0,2,7,8,1,0,1,0,4,4,0,1,2,1,17,0,14,1,3,0,0,7,5,0,18,1,0,0,0,0,1,0,1,0,0,0,2,0,0,7,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroids,5,3,1,0,913,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligopeptides,0,0,0,0,0,0,7,697,0,0,0,0,5,0,0,0,0,0,0,0,7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoterpenoids,5,54,0,0,1,0,33,0,457,1,7,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,5,1,0,1,0,0,2,1,1,0,10,1,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Meroterpenoids,14,9,1,1,0,3,37,0,1,7,463,1,2,0,7,4,0,1,2,3,0,9,0,0,3,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Coumarins,3,2,0,12,0,2,23,0,2,1,1,420,0,1,1,1,2,10,6,12,0,4,16,0,0,4,0,0,0,0,0,0,5,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
